Timestamp,Date,Status code,Error Code,Description,API
2026-03-30T15:36:05,2026-03-30,200,,Success,GET /
2026-03-30T15:39:12,2026-03-30,200,,Success,POST /api/validate
2026-03-30T15:39:25,2026-03-30,200,,Success,POST /api/validate
2026-03-30T15:39:31,2026-03-30,400,3003,Invalid email format: invalid-email,POST /api/validate
2026-03-30T15:39:37,2026-03-30,400,3002,Missing required fields: age,POST /api/validate
2026-03-30T15:39:43,2026-03-30,400,3004,Age out of valid range: 200,POST /api/validate
2026-03-30T15:39:47,2026-03-30,400,3005,Age is not a valid integer: not-a-number,POST /api/validate
2026-03-30T15:41:05,2026-03-30,200,,Success,GET /
2026-03-30T15:41:09,2026-03-30,201,,Success,POST /api/logs
2026-03-30T15:41:14,2026-03-30,400,3002,"Missing required fields: email, age",POST /api/validate
2026-03-30T15:41:18,2026-03-30,400,3002,"Missing required fields: email, age",POST /api/validate
2026-03-30T15:41:22,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T15:41:28,2026-03-30,403,2003,Permission denied - Insufficient privileges,GET /api/test-error/3
2026-03-30T15:41:32,2026-03-30,404,4004,Endpoint not found: GET /api/nonexistent-endpoint,GET /api/nonexistent-endpoint
2026-03-30T15:41:36,2026-03-30,408,2004,Request timeout - Operation exceeded 30 seconds,GET /api/test-error/4
2026-03-30T15:41:40,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T15:41:52,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T15:42:04,2026-03-30,200,,Success,GET /api/status
2026-03-30T15:42:14,2026-03-30,200,,Success,GET /api/logs
2026-03-30T15:42:22,2026-03-30,400,3003,Invalid email format: invalid,POST /api/validate
2026-03-30T15:42:29,2026-03-30,400,3004,Age out of valid range: -5,POST /api/validate
2026-03-30T15:42:34,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T15:42:40,2026-03-30,503,2007,Service unavailable - Maintenance in progress,GET /api/test-error/7
2026-03-30T15:42:51,2026-03-30,200,,Success,POST /api/validate
2026-03-30T15:43:03,2026-03-30,400,3001,Request body is empty,POST /api/validate
2026-03-30T16:00:47,2026-03-30,200,,Success,GET /api/status
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,503,2001,Database connection failed,GET /api/test-error/1
2026-03-30T16:01:16,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T16:01:16,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T16:01:16,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T16:01:16,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T16:01:16,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T16:01:16,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T16:01:16,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T16:01:16,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T16:01:16,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T16:01:16,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T16:01:16,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T16:01:16,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T16:01:16,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T16:01:16,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T16:01:16,2026-03-30,401,2002,Authentication failed - Invalid credentials,GET /api/test-error/2
2026-03-30T16:01:16,2026-03-30,403,2003,Permission denied - Insufficient privileges,GET /api/test-error/3
2026-03-30T16:01:16,2026-03-30,403,2003,Permission denied - Insufficient privileges,GET /api/test-error/3
2026-03-30T16:01:16,2026-03-30,403,2003,Permission denied - Insufficient privileges,GET /api/test-error/3
2026-03-30T16:01:16,2026-03-30,403,2003,Permission denied - Insufficient privileges,GET /api/test-error/3
2026-03-30T16:01:16,2026-03-30,403,2003,Permission denied - Insufficient privileges,GET /api/test-error/3
2026-03-30T16:01:16,2026-03-30,403,2003,Permission denied - Insufficient privileges,GET /api/test-error/3
2026-03-30T16:01:16,2026-03-30,403,2003,Permission denied - Insufficient privileges,GET /api/test-error/3
2026-03-30T16:01:16,2026-03-30,403,2003,Permission denied - Insufficient privileges,GET /api/test-error/3
2026-03-30T16:01:16,2026-03-30,403,2003,Permission denied - Insufficient privileges,GET /api/test-error/3
2026-03-30T16:01:16,2026-03-30,403,2003,Permission denied - Insufficient privileges,GET /api/test-error/3
2026-03-30T16:01:16,2026-03-30,408,2004,Request timeout - Operation exceeded 30 seconds,GET /api/test-error/4
2026-03-30T16:01:16,2026-03-30,408,2004,Request timeout - Operation exceeded 30 seconds,GET /api/test-error/4
2026-03-30T16:01:16,2026-03-30,408,2004,Request timeout - Operation exceeded 30 seconds,GET /api/test-error/4
2026-03-30T16:01:16,2026-03-30,408,2004,Request timeout - Operation exceeded 30 seconds,GET /api/test-error/4
2026-03-30T16:01:16,2026-03-30,408,2004,Request timeout - Operation exceeded 30 seconds,GET /api/test-error/4
2026-03-30T16:01:16,2026-03-30,408,2004,Request timeout - Operation exceeded 30 seconds,GET /api/test-error/4
2026-03-30T16:01:16,2026-03-30,408,2004,Request timeout - Operation exceeded 30 seconds,GET /api/test-error/4
2026-03-30T16:01:16,2026-03-30,408,2004,Request timeout - Operation exceeded 30 seconds,GET /api/test-error/4
2026-03-30T16:01:16,2026-03-30,408,2004,Request timeout - Operation exceeded 30 seconds,GET /api/test-error/4
2026-03-30T16:01:16,2026-03-30,408,2004,Request timeout - Operation exceeded 30 seconds,GET /api/test-error/4
2026-03-30T16:01:16,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T16:01:16,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T16:01:16,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T16:01:16,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T16:01:16,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T16:01:16,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T16:01:16,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T16:01:16,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T16:01:16,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T16:01:16,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T16:01:16,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T16:01:16,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T16:01:16,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T16:01:16,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T16:01:16,2026-03-30,400,2005,Invalid JSON in request body,GET /api/test-error/5
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:16,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:17,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:17,2026-03-30,429,2006,Rate limit exceeded - Too many requests,GET /api/test-error/6
2026-03-30T16:01:17,2026-03-30,503,2007,Service unavailable - Maintenance in progress,GET /api/test-error/7
2026-03-30T16:01:17,2026-03-30,503,2007,Service unavailable - Maintenance in progress,GET /api/test-error/7
2026-03-30T16:01:17,2026-03-30,503,2007,Service unavailable - Maintenance in progress,GET /api/test-error/7
2026-03-30T16:01:17,2026-03-30,503,2007,Service unavailable - Maintenance in progress,GET /api/test-error/7
